,GSM246548,GSM246667,GSM246670
IFI27,0.07582230625164732,-0.30389761265395787,1.3594730280914187
DDX60,0.26812538069248043,-0.013425134584928928,0.28749587286843975
OAS3,-0.14925442590687849,-0.18540794031769955,0.031576209841086715
IFI44,-0.5694026394247665,-0.3489861958831805,0.12465871549750905
HERC5,-0.24623535185537676,0.002511144103845958,0.5954604021388537
ISG15,-0.09573272484536442,-0.23732006520713161,0.3647499136538467
PLSCR1,0.6645648479599382,-0.7965143229468341,0.18033008650281898
HLA-E,-0.4498897094830369,-0.25595254701882836,-0.19991284938286336
HCP5,-0.9191038405112509,-1.1438311222408406,-0.8059075961872376
HLA-C,-0.8347144144310035,-0.3200726941971983,-0.22067878555914072
HLA-A,-0.9916356422065311,-1.6008917807385286,0.8523621754509254
HCG26,-0.21706533693078295,-1.3597341587185585,-0.13382918744103273
HLA-B,-0.2539053039917919,-1.663962511129039,0.13578058519588423
NACAP1,-0.5790637518330504,-0.8561049428835852,-0.38039918993484706
RPL37A,-0.8514791884953424,-1.2803176242689573,-0.23796559188210853
RPL27A,-0.6794743909178446,-2.2985214993959526,-0.3980508646097169
RPS11,2.0589623070676826,-0.44141581265812024,-0.07476215523975242
HIST3H3,0.4104166239386832,-0.019705129504487974,-0.5716626648714138
RPLP1,0.6175137787619508,0.7667266467477937,-0.2663927042315048
HUWE1,0.9811461796050418,-1.5684979010152913,-0.4368659577034777
EEF1A1,0.009852305205436505,-1.1081525982416596,-0.37433124281128594
RPL41,-1.3186421548189442,-0.4319486510252721,-0.36024775782017376
FGF22,-0.3524572882140379,-1.0427418974973244,-0.25758727772456025
IKZF3,-0.6004964896514355,-0.4574333214147218,-0.21578226711924703
FOLR1,-0.47126543692272205,-0.34031713556981835,-0.2721256327435738
CENPJ,-0.6484903794834932,0.03931950622420697,-0.6327834202893822
