,GSM246528,GSM246538,GSM246553,GSM246563,GSM246628,GSM246633,GSM246641,GSM246668,GSM246669
CTAG2,-0.4740757400174668,-0.43781829016929635,-0.19431740721699856,-0.6279011718168633,-0.6704894507433428,-0.17729730684605374,-0.7942638936825792,-0.560568097814454,-0.26508755538744266
MAGEA1,-0.45977399731118257,-0.3960294062930401,0.459514564303399,0.5543530437215312,-0.5213964043421155,-0.2382002643723275,-0.3491657717838465,0.27641813406958965,-0.36377743615183417
MAGEA6,-0.601183647079145,-0.1947983123019084,0.27540313366901115,1.1393025595326463,-0.37099730760128313,1.6670971015414995,-0.44553500434249704,0.35977989990273856,0.3058268450175842
FGF13,-0.5821099212964013,0.2716774759229766,0.21293902781857083,0.059205412218019324,-0.7731483350319882,0.568154876174894,-0.34629674309952085,0.0015068367551592245,0.20354088245587815
GCDH,0.04340859923282219,-0.6212234436108572,-0.5513053065721508,-0.06589188997854802,-0.2921313193501547,-0.09764840620308234,-0.6367423791929128,0.27032817841690904,0.07826818732444218
DOLPP1,-0.33754707828944763,-0.26875925620657276,-0.8972943151456088,0.5803620255114427,-0.4383705598407108,-0.5991025436021604,-0.2442144649032042,-0.6015095409483171,-0.3909322696084793
UTY,-0.5599665574406869,0.22179383578653902,-0.24948605070561575,0.1968949563812869,-0.5588825627362389,0.3872204735561941,-0.6218621620404284,0.41814245292836716,0.19838470922618098
TTTY15,-0.11382142918684357,0.6403164697832311,0.07469127080643141,0.722706872042915,-0.5247923393602458,1.7109725481266005,-0.41547474401396917,-0.5439890384515873,0.07853319339597416
USP9Y,-0.20135810217159486,-0.44895336606391956,-0.6622362350493715,1.2747487433614595,-0.18016369776024505,0.16054967297223183,-0.3637409201743046,-0.6413917908171709,-0.2825713582802328
EIF1AY,-0.2372119856092104,0.6786954220054979,0.34744015346204143,-1.1920829355787157,-0.5260903622581895,0.9200644343966772,-0.49220565237925085,-0.49407362684340295,-0.05560233311551693
DDX3Y,-0.543551896042574,-0.13118885397293764,-0.5689913715814177,0.81667851460348,-0.3966786293424628,0.07894010594380033,-0.47225379003433426,-0.41542542128085325,-0.35934105549653145
TXLNGY,-0.5043798509370314,0.023364045858355987,-0.8783710781973512,1.6930453351072088,-0.6841608486908475,-0.036540438444527035,-0.4127108479304164,-0.2847654577998664,-0.16169292236867222
KDM5D,-0.5301536931568552,0.059094427623169715,0.5225049899553403,2.8253907960455935,-0.6808735197553833,0.8092002448380358,-0.40331235920173336,-0.46302163552018827,0.0426723151145483
RPS4Y1,-0.459357993070261,-0.3476359677432421,0.13320375348878052,3.005692799709624,-0.31370950513670426,0.5507789191143332,-0.336444344258649,-0.5677493805558886,-0.33290925303050534
RAPGEF4,-0.24235804843909362,0.4598678272390319,-0.03237884086873672,2.31356953517927,-0.9517027080584014,0.07594229465373536,0.2320015457132262,-0.3231212984639921,0.3764102333696373
PA2G4,-0.4763316903037936,-0.17860762177125847,-0.019027966588193605,-0.20219992405376436,-0.32307041967733974,0.33042064545655336,0.07595732442366877,-0.02769318535989186,-0.17305871366254214
GIPC1,-0.29473490257860757,-0.6176445109955553,-0.08215037780740524,-0.33995353962617914,0.11451727948427043,0.1883921851385856,-0.4686935151164564,-0.5462383188925505,-0.43075498460305034
CYP27B1,-0.43458281298351986,-0.28353798324927504,-0.2108169554102515,0.1444791774453141,-0.48469087512029885,-0.3205848291086854,-0.415301614080087,-0.3988062901579299,-0.35957661554014875
FASN,-0.5169479030031073,-0.19419578392691894,-0.670702229369376,0.5178458046457962,-0.3235462087869926,-0.4348480382830259,0.3007583449627513,0.015059499917823044,-0.8283662872806269
NOP2,-1.2254413707289653,-0.2986140899089068,-0.48075194790247694,2.56666456789482,0.5401308958459169,-0.47388254216078995,-0.3500561598442866,-0.4752404755552702,0.1086588264789302
SIDT2,-0.8200991732743738,-0.4748593446793397,0.06654278327953675,-0.4868658429593724,-0.36749436199612234,-0.41795737844071196,-0.6482354869744062,-0.5927139628908497,-0.6718764457516816
SLC25A10,-0.3973292546470574,-0.35854867464111906,-0.003997513325289322,0.5526205432464315,0.2868553395970217,0.2843110126942039,-0.4823385497521049,-0.06922727017814315,0.34585593741483384
GTPBP8,-0.5415800097007347,-0.3574263726861964,-0.24816889354508123,-0.008036435557281858,-0.3480541151856028,-0.5518974257254249,-0.19316120823698193,-0.12814229859145143,-0.21523710931199463
GALT,-0.5917897300712013,-0.40548621348459524,-0.1450447595977088,-0.062251347138560495,0.11468652532528871,-0.18806524436635377,-0.3277024503723991,-0.5726298382865851,-0.6282390614636664
CCDC101,-0.3529173557761364,-0.45846963867482055,-0.10541501243545091,-0.34712603650876855,-0.16591860689021443,0.04989009869938784,-0.4342061495964094,0.23376040404998907,-0.5477431253226811
SGTA,-0.2085457457560245,-0.5210675255080403,0.14026110663612726,-0.7235079944469739,0.19481029741680095,0.08387550972118375,0.10401189662563734,0.1456477530499773,-0.5607839681785098
GBP2,-0.8537892095852967,-0.3693217376347881,-0.05703664381120317,-0.5848672306799622,-0.46020396942570985,-0.008692197243693989,-0.26201373174798004,-0.36224082441136024,-0.22828453411220243
PARP12,-0.745007370138681,-0.5229526755178896,-0.4958485413759187,-0.44931607438811877,-0.3351343826423333,-0.34142288877605487,-0.48357642088338343,-0.491857136873525,0.19900305738675278
RSAD2,-0.7692451140950273,-0.8393102274954553,-0.13956179184317524,-0.20286571385387683,-0.7308140120320793,-0.7229953902146409,-0.41933430418288603,-0.5726298382865851,-0.44056997956074156
GBP1,-0.0691210004434855,-0.6961301271136416,0.9065553600279533,-0.5534323341141131,0.2201877664053538,-0.27418998914102777,0.07749454239175481,0.2777373515789132,-0.30647417267614546
IFIT3,0.09136065322171762,-0.3218643843330526,0.1628711409703386,0.26646405369211434,0.5030968865426401,-0.06941462433739097,-0.34996217444103206,0.06386939009347997,-0.16284455123056682
IFI27,-0.17378588965189004,-0.3408737084375225,-0.16957392266780658,-0.8456438241348524,-0.12344189943424909,-0.1713970633682238,0.0367812205842124,-0.08603205349528757,-0.18842248729197653
DDX60,0.47478808705284953,-0.23001129831863842,0.47351438000349866,-0.5354441435037723,-0.1057065098121248,-0.19738269917771523,-0.18912595861660703,-0.23391386856448013,-0.04073583616964432
OAS3,-0.4839645334899855,-0.5160352865405696,-0.11185857437239985,1.4644446480404991,-0.3312354693591263,-0.31626417729614786,-0.21964319131242144,-0.7055516932933275,-0.28259753163549334
IFI44,-0.3154198633089785,-0.41138734288658824,-0.40982441190162117,-0.4357738370302179,-0.4027920062001929,-0.36347321371713187,-0.44932530179884334,-0.4705849001048879,-0.26539182070004624
HERC5,-0.003368566246124867,-0.45734733922887083,-0.7529207149389626,-0.46497561589227077,-0.2584443742954109,-0.3415365899369456,-0.43169082314468055,-0.2204739915162171,-0.255553908778455
ISG15,-0.48208976826828603,-0.3199818117400159,-0.33015408380542766,0.04877814131158346,-0.6613059932252359,-0.23623198942999685,-0.7639659596640497,-0.6971521676455894,-0.2828330918323267
PLSCR1,-0.6401172131610743,0.2817602360985726,0.1066032671419912,0.11863294261280524,-0.2745637930305193,-0.49738615902656685,0.026865402918312218,-1.1659380187540798,-0.2823096247269207
